EventTemplate,Occurrences
"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",341
Running task <*> in TID <*>,236
"Found block <*>, locally",170
"Got assigned task <*>, at <*></s>",161
"Block <*> stored as bytes in memory (estimated size <*>, free <*> KB)",112
"Finished task <*> in stage <*> (TID <*>, bytes <*> sent to driver",92
Got assigned task <*>,89
Found block <*> locally,87
"Partition <*>, not found, computing it",75
Finished task <*>. (TID <*>). <*> bytes result sent to driver,68
Finished task <*> (<*> bytes result sent to driver),56
"Got assigned task <*>,",54
"Block <*> stored as values in memory (estimated size <*>, free <*> KB)",37
Running task <*> in stage <*> (TID <*>),33
"Started reading broadcast variable <*>,",32
File Output Committer Algorithm version is <*>,30
<*>: Committed,28
"Times: total <*>, boot <*>, init <*>, finish <*>",27
Finished task <*> (<*> bytes result sent to driver).,27
Input split: <hdfs://*:*/logs/*:*,25
"Reading broadcast variable <*>, took <*> ms",22
"Running task <*> in stage <*>, TID <*>",18
Input split: <hdfs://*:*/logs/*:*+*>,17
"Finished task <*> in stage <*>, TID <*>. <*> bytes result sent to driver",17
"Saved output of task '<*>', to hdfs://<*>/<*>/<*>",16
"Saved output of task '<*>', to '<*>'",14
Running task <*>,13
Reading broadcast variable <*> took <*> ms,12
Finished task <*>.(TID <*>). <*> bytes result sent to driver,12
"Finished task <*> in stage <*> (TID <*>, <*> bytes result sent to driver",9
"Times: total = <*>, boot = -<*>, init = <*>, finish = <*>",6
"Finished task <*>, sent <*> bytes to driver",5
Finished task <*> in <*> (TID <*>). <*> bytes result sent to driver,5
"Started reading broadcast variable <*>, at <*>, mask <*>",4
Task <*> in stage <*> (TID <*>),4
Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,4
Reading variable <*> took <*> ms,3
Input split: <hdfs://*:*/logs/*:*+*,3
"Changing view acls to: <*>,",2
"Changing modify acls to: <*>, <*>, <*>",2
"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: <*>, users with modify permissions: <*>",2
Finished task <*> in stage <*>. (TID <*>). <*> bytes result sent to driver,2
Finished task <*> (<*> bytes),2
"<*>, Committed",2
"Registered signal handlers for <*>,",1
Slf4jLogger started,1
Starting <*>,1
Remoting started; listening on addresses <akka.tcp://<*>@<*>,1
"Successfully started service '<*>', on port <*>",1
"Created local directory at <*>,",1
MemoryStore started with capacity <*> GB,1
Connecting to driver: spark://<*>,1
Successfully registered with driver <*>,1
"Starting executor ID <*> on host <*>,",1
Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,1
"Server created on <*>,",1
Trying to register BlockManager <*>,1
Registered BlockManager <*>,1
"Running task <*>, in stage <*>, (TID <*>)",1
"mapreduce.task.id is <*>,",1
"mapreduce.task.attempt.id is <*>,",1
"mapreduce.task.ismap is deprecated. Instead, use mapred.task.ismap",1
"mapreduce.job.id is <*>,",1
"mapreduce.task.partition is deprecated. Instead, use <*>, at <*>, mask <*>",1
Started reading broadcast variable <*>,1
"Finished task <*> in TID <*>, <*> bytes sent to driver",1
"Times: <*>, boot = <*>, init = <*>, finish = <*>",1
"Got assigned task <*>, at 0x0, mask 0x0",1
