EventTemplate,Occurrences
"data_thread() got not answer from any <*>,",819
"synchronized to <*>, stratum <*>",567
NEW SWEEP ********************,62
No topology change,62
No configuration change required,62
"Warning: we failed to resolve data source name <*>, at <*>, mask <*>",28
session closed for user <*>,24
"session opened for user <uid=0>, by (uid=<*>)",19
"DHCPDISCOVER from <*> via <*>, network <*>, no free leases",15
(user) CMD (run-parts <*>),14
PCI Interrupt Routing Table,10
"DHCPREQUEST for <*>, from <*> via <*>, unknown lease <*>",9
"Reading included configuration file: <*>, line <*>,",9
RRD_update (<*> Nodes/<*>/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),8
Wait for ready failed before probe ! <*>,6
"DHCPDISCOVER from <*>, via <*>",5
"DHCPOFFER on <*>, at <*>, via <*>",5
"PCI Interrupt Link <*>, (IRQs <*>) *0, disabled.",5
"PCI interrupt <*>, <*>, <*> -> GSI <*>, (level, low) -> IRQ <*>",5
"L2 cache: <*>,",5
"Physical Processor ID <*>,",5
"Trace cache: <*>, L1 D cache: <*>",5
"Reading included configuration file <*>, line <*>",5
unable to qualify my own domain name (<*>) -- using short name,4
"unable to qualify <*>, -- using short name",4
"My unqualified host name <*>, unknown; sleeping for retry",4
"LAPIC_NMI (acpi_id <*>, high edge lint <*>)",4
Processor <*> (supports C1),4
"Registered protocol family <*>,",4
"(C) <*>, by <*>",4
removing <*>,4
Local disconnected: Connection closed.,3
connection lost: 'Connection closed.',3
"DHCPACK on <*>, at <*>, via <*>",3
"DHCPREQUEST for <*>, from <*> via <*>",3
RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),3
(<*>) CMD (<*> <*>),3
"IOAPIC (<*>, <*>, <*>)",3
mounted filesystem with <*>,3
"unable to qualify domain name <*>, -- using short name",2
(<*>) CMD (<*>),2
"<*> used by <*>,",2
"LAPIC (acpi_id <*>, lapic_id <*> enabled)",2
"PCI interrupt <*>[A] -> GSI <*> (level, low) -> IRQ <*>",2
"PCI interrupt <*>, at <*>, level <*>, low <*> -> IRQ <*>",2
"apic_id <*>, version <*>, address <*>, GSI <*>-<*>",2
"not allocating divert_blk for <*>,",2
autorun DONE.,2
Autodetecting RAID arrays.,2
autorun ...,2
registered new driver <*>,2
"connection from ""<*>""",2
"User #<*>, coming from #<*>, authenticated.",2
Now running on #<*>'s privileges.,2
succeeded,2
removing chargen <*>,2
removing echo <*>,2
removing time,2
"jA9J1UvC004306: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
"jA9J1UvC004306: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=<*>, dsn=<*>, stat=Deferred: Connection refused by <*>",1
"jA9J1Wd7019391: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
"jA9J1Wd7019391: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=<*>, dsn=<*>, stat=Deferred: Connection refused by <*>",1
"jA9J1WSU011176: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
"jA9J1WSU011176: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=<*>, dsn=<*>, stat=Deferred: Connection refused by <*>",1
"jA9J1WFE024258: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
"jA9J1WFE024258: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=<*>, dsn=<*>, stat=<*>",1
"jA9J1dQ7016560: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
"jA9J1dQ7016560: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=<*>, dsn=<*>, stat=Deferred: Connection refused by <*>",1
"START: tftp pid=<*>, from=<*>,",1
kernel time sync disabled <*>,1
time reset +<*> s,1
"Received SNMP packet(s) from <*>,",1
kernel time sync enabled <*>,1
"synchronized to #<*>, stratum <*>",1
"My unqualified host name (<*>), unknown; sleeping for retry",1
CentOS-<*> (Kernel Module GPG key),1
(supports <*>),1
"DSDT (<*> DELL PE BKC <*>, MSFT <*>) @ <*>",1
"FADT (<*> DEL PE BKC <*>, MSFT <*>) @ <*>",1
"HPET (<*> DELL PE BKC <*>, MSFT <*>) @ <*>",1
"HPET id <*>, base <*>",1
"INT_SRC_OVR (bus <*>, bus_irq <*>, global_irq <*>, dfl <*>, dfl <*>)",1
