input,groundtruth,prediction
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",The template is 'printFreezingDisplayLogsopening app <*>'.</s>
"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","The template is 'acquire lock=<*> flags=<*> tag=""View Lock"" name=<*> ws=null uid=<*> pid=<*>'.</s>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",The template is 'PacketResponder <*> for block <*> terminating'.</s>
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,The template is 'Skipping AppWindowToken for block <*> going to hide'.</s>
visible is system.time.showampm,visible is <*>,The template is 'visible is system.time.showampm'.</s>
mVisiblity.getValue is false,mVisiblity.getValue is <*>,The template is 'mVisiblity.getValue is false'</s>
visible is system.charge.show,visible is <*>,The template is 'visible is system.charge.show'.</s>
mVisiblity.getValue is false,mVisiblity.getValue is <*>,The template is 'mVisiblity.getValue is false'</s>
visible is system.call.count gt 0,visible is <*> gt <*>,The template is 'visible is system.call.count gt 0'</s>
mVisiblity.getValue is false,mVisiblity.getValue is <*>,The template is 'mVisiblity.getValue is false'</s>
visible is system.message.count gt 0,visible is <*> gt <*>,The template is 'visible is system.message.count gt 0'</s>
mVisiblity.getValue is false,mVisiblity.getValue is <*>,The template is 'mVisiblity.getValue is false'</s>
visible is system.ownerinfo.show,visible is <*>,The template is 'visible is system.ownerinfo.show'</s>
mVisiblity.getValue is false,mVisiblity.getValue is <*>,The template is 'mVisiblity.getValue is false'</s>
"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","The template is 'release:lock=<*>, flg=0x0, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>'</s>"
"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",The template is 'PacketResponder <*> for block <*> terminating'.</s>
Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,The template is 'Skipping AppWindowToken for block <*> going to hide'.</s>
"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","The template is 'updateClipping isOverlap:false, getTopPadding=<*>, Translation=-<*>'.</s>"
updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:<*>,The template is 'updateDimmedActivatedHideSensitive overlap:false'</s>
getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,The template is 'getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output'.</s>
"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","The template is 'release:lock=<*>, flg=0x0, tag=""*launch*"", name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>'.</s>"
