input,groundtruth,prediction
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
instruction cache parity error corrected,instruction cache parity error corrected,The template is 'instruction cache parity error corrected'.</s>
63543 double-hummer alignment exceptions,<*> double-hummer alignment exceptions,The template is 'double-hummer alignment exceptions'.</s>
162 double-hummer alignment exceptions,<*> double-hummer alignment exceptions,The template is 'double-hummer alignment exceptions'.</s>
141 double-hummer alignment exceptions,<*> double-hummer alignment exceptions,The template is '141 double-hummer alignment exceptions'.</s>
"CE sym 2, at 0x0b85eee0, mask 0x05","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>,The template is 'ciod: failed to read message prefix on control stream (CioStream socket to <*> terminating')</s>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,ciod: failed to read message prefix on control stream (CioStream socket to <*>,The template is 'ciod: failed to read message prefix on control stream (CioStream socket to <*> terminating')</s>
"CE sym 20, at 0x1438f9e0, mask 0x40","CE sym <*>, at <*>, mask <*>",The template is 'CE sym <*> at <*> mask <*>'.</s>
generating core.2275,generating core.<*>,The template is 'generating core.2275'</s>
generating core.862,generating core.<*>,The template is 'generating core.862'</s>
generating core.728,generating core.<*>,The template is 'generating core.728'</s>
generating core.775,generating core.<*>,The template is 'generating core.775'</s>
generating core.3276,generating core.<*>,The template is 'generating core.3276'</s>
generating core.1717,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.3919,generating core.<*>,The template is 'generating core.3919'</s>
generating core.2079,generating core.<*>,The template is 'generating core.2079'</s>
generating core.1414,generating core.<*>,The template is 'generating core. <*>'.</s>
generating core.3055,generating core.<*>,The template is 'generating core.3055'</s>
generating core.201,generating core.<*>,The template is 'generating core.201'</s>
generating core.1125,generating core.<*>,The template is 'generating core.1125'</s>
generating core.412,generating core.<*>,The template is 'generating core.412'</s>
generating core.7828,generating core.<*>,The template is 'generating core.7828'</s>
