LineId,SessionId,Date,Time,Level,Process,Component,Content,EventTemplate,EventId
1,2015-10-18,"18:01:57,447",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000000_0,using containerId,[container_1445144423722_0020_01_000002 on NM: [04DN8IQ.fareast.corp.microsoft.com:54883],MRAppMaster for application <*> terminating,49
2,2015-10-18,"18:01:58,963",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000001_0,using containerId,[container_1445144423722_0020_01_000003 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],Executing with tokens: <*>,85
3,2015-10-18,"18:02:01,041",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000002_0,using containerId,[container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId <*> application_id <*> id: <*> cluster_timestamp: <*> attemptId: <*> keyId: <*>)",133
4,2015-10-18,"18:02:47,841",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000003_0,using containerId,[container_1445144423722_0020_01_000005 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],Using mapred newApiCommitter.,60
5,2015-10-18,"18:03:55,939",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000004_0,using containerId,[container_1445144423722_0020_01_000006 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],OutputCommitter set in config null,90
6,2015-10-18,"18:03:55,939",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000005_0,using containerId,[container_1445144423722_0020_01_000007 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],OutputCommitter <*> is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,18
7,2015-10-18,"18:03:56,798",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000006_0,using containerId,[container_1445144423722_0020_01_000008 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],Registering class <*> for class <*> terminating,126
8,2015-10-18,"18:04:05,127",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000007_0,using containerId,[container_1445144423722_0020_01_000009 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],JobEventType for class <*> terminating,75
9,2015-10-18,"18:04:08,205",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000008_0,using containerId,[container_1445144423722_0020_01_000010 on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],TaskEventType <*> for class <*> terminating,76
10,2015-10-18,"18:04:09,268",INFO,[AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: TaskAttempt:,attempt_1445144423722_0020_m_000009_0,using containerId,[container_1445144423722_0020_01_000011 on NM: [MSRA-SA-39.fareast.corp.microsoft.com:28345],TaskAttemptEventType for class <*> terminating,0
