LineId,Date,Time,Pid,Tid,Level,Component,Content,EventTemplate,EventId
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",printFreezingDisplayLogsopening app <*>,37
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","acquire lock=<*> flags=<*> tag=""View Lock"" name=<*> ws=null uid=<*> pid=<*>",129
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",PacketResponder <*> for block <*> terminating,181
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken for block <*> going to hide,135
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,visible is system.time.showampm,121
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,170
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,visible is system.charge.show,0
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,170
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,visible is system.call.count gt 0,153
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,170
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,visible is system.message.count gt 0,64
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,170
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,visible is system.ownerinfo.show,152
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,170
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","release:lock=<*>, flg=0x0, tag=""View Lock"", name=<*>, ws=null, uid=<*>, pid=<*>",103
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",PacketResponder <*> for block <*> terminating,181
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping AppWindowToken for block <*> going to hide,135
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0","updateClipping isOverlap:false, getTopPadding=<*>, Translation=-<*>",73
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap:false,99
