EventTemplate,Occurrences
PacketResponder <*> for block <*> terminating,199
setLightsOn(<*>),181
"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",181
HBM brightnessIn =<*>,85
HBM brightnessOut =<*>,85
Animating brightness: <*> target=<*> rate=<*>,85
getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
updateDimmedActivatedHideSensitive overlap:<*>,65
"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>",52
shouldBlockLocation running ...,37
shouldBlockLocation <*> ret:<*>,37
getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
"Skipping, withExcluded: <*>, tr.intent:Intent { <*> }",28
suspendAutohide,23
Destroying surface <*> called by <*>,22
cancelPeek: <*>,20
cancelNotificationWithTag pid <*> uid = <*> tag = <*> pkg = <*> id = <*>,20
"cancelNotification,index:-<*>",20
querySoundEffectsEnabled...,17
cancelAutohide,15
acquire lock=<*> for block <*> terminating,15
interceptKeyTq <*> keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down=<*> canceled=<*>,14
interceptKeyBeforeQueueing : key <*> result <*>,14
"Skipping, withExcluded: <*>, tr.intent:Intent { act=android.intent.action.MAIN flg=0x10840000 cmp=<*> (has extras) }",14
"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
getRecentTasks: topActivity=<*>,14
"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",13
"updateNotificationShade: total=<*>, active=<*>",13
"setSystemUiVisibility vis=<*> mask=ffffffff oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",12
"state.clipTopAmount:<*>, i:<*>",12
removeNotificationChildren,12
closeQs,12
isMusicActive...,12
resumeSuspendedAutohide,10
playSoundEffect <*> effectType: <*>,10
instantCollapse,9
getLastAudibleStreamVolume treamType: <*>,9
"release:lock=<*>, flg=0x0, tag=""*launch*"", name=<*>, ws=WorkSource{<*>}, uid=<*>, pid=<*>",8
"release:lock=<*>, flg=0x0, tag=""RILJ_ACK_WL"", name=<*>, ws=<*>, uid=<*>, pid=<*>",7
"Skipping, withExcluded: <*>, tr.intent:Intent { flg=0x10800000 cmp=<*> (has extras) }",7
"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> }",7
"Skipping, withExcluded: <*>, tr.intent:Intent { act=android.intent.action.VIEW dat=file:///storage/emulated/0/Tencent/QQfile_recv/b.apk typ=application/vnd.android.package-archive flg=0x10800000 cmp=com.android.packageinstaller/.PackageInstallerActivity (has extras) }",7
"release:lock=<*>, flg=0x0, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",6
"updateLightsLocked,turn off notificationLight",6
logNotificationVisibilityChanges runInThread start,6
onNotificationVisibilityChanged called,6
logNotificationVisibilityChanges runInThread over,6
"animateCollapsePanels: flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",6
Layout begin,6
Layout end,6
cleanUpApplicationRecord -- <*>,6
"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
"cleanUpApplicationRecordLocked, reset pid: <*> euid: <*>",6
stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
mVisiblity.getValue is <*>,5
"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",5
getNeighboringCellInfo calling app is <*>,5
"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == null?true",4
MotionEvent <*> for block <*> terminating,4
makeExpandedInvisible: mExpandedVisible=<*>,4
"ActivityManagerService,attachApplication,callingPid = <*>",4
mHeadsUpExistenceChangedRunnable,4
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
"notifyUiVisibilityChanged:vis=0x40000600, SystemUiVisibility=0x40000600",3
registerCallback not in UI.,3
Must execute in UI,3
"cancelNotification,index:<*>",3
disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,3
"acquire lock=<*> flags=<*> tag=""<*>"" name=<*> ws=<*> uid=<*> pid=<*>",3
"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*> PendingIntentRecord{<*>}}},repeatInterval = <*>,listenerTag =<*>",3
Received <*> alarm; rescheduling,3
scheduleTimeTickEvent triggerAtTime = <*>,3
received broadcast android.intent.action.TIME_TICK,3
handleTimeUpdate,3
"acquire lock=<*>, flags=0x1, tag=""RILJ_ACK_WL"", name=<*>, ws=<*>, uid=<*>, pid=<*>",3
"notifyUiVisibilityChanged:vis=0x708, SystemUiVisibility=0x708",3
"setSystemUiVisibility vis=c0000700 mask=ffffffff oldVal=<*> newVal=c0000700 diff=c0000008 fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",3
"notifyUiVisibilityChanged:vis=0xc0000700, SystemUiVisibility=0xc0000700",3
getRingerMode...,3
ActivityRecord info: <*> euid: <*>,3
getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
Skipping AppWindowToken for block <*> going to hide,2
