EventTemplate,Occurrences
generating core.<*>,567
iar <*> dear <*> terminating,198
generating core. <*>,154
FloatingPointAlignmentExceptions <*> for block <*> terminating,116
double-hummer alignment exceptions,108
CE sym <*> at <*> mask <*>,92
"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
data TLB error interrupt,60
<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
instruction cache parity error corrected,42
SendPacket <*> for block <*> terminating,35
data storage interrupt,30
PacketResponder <*> for block <*> terminating,22
Instruction address: <*>,21
"ciod: Error loading <*> invalid or missing program image, No such file or directory",16
ciod: generated <*> core files for program <*> terminating,16
"ciod: Received signal <*> code=<*>, errno=<*>, address=<*>",16
"Error loading <*> invalid or missing program image, Exec format error",15
generated <*> core files for program <*> terminating,14
total of <*> ddr error(s) detected and corrected,13
"DDR errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",12
ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> terminating,9
data address: <*>,8
program interrupt: <*> illegal instruction......<*>,8
"ciod: <*> Error loading <*> invalid or missing program image, Permission denied",8
core configuration register: <*>,7
Lustre mount <*> : <*> : <*>,7
Machine Check DCR read timeout (mc=<*> iar <*> lr <*>),7
ciod: <*> chdir(<*>) failed: No such file or directory,6
exception syndrome register: <*>,6
Node card is not fully functional,6
Can not get assembly information for node <*>,6
"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",6
kernel terminated for reason <*>,6
data cache search parity error detected. attempting to correct,6
ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,6
"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",6
machine check: <*> fetch......................<*>,5
data store interrupt caused by <*> dcbf.........<*>,5
program interrupt: privileged instruction...<*>,5
program interrupt: <*> imprecise exception......<*>,5
data store interrupt caused by icbi.........<*>,5
auxiliary processor.........................<*>,5
floating <*> ex mode <*> enable......<*>,5
data address space................<*>,5
Ido chip status changed: <*> for block <*> terminating,5
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE.,5
Node card VPD check: <*> do not match. VPD ecid <*> found <*>,5
ciod: <*> chdir(/bgl/apps/SWL/performance/MINIBEN///<*>) failed: No such file or directory,5
"ciod: Error loading <*> invalid or missing program image, Permission denied",5
<*> floating point alignment exceptions,5
machine state register: <*>,4
floating point instr. enabled.....<*>,4
program interrupt: <*> cr field <*> .............<*>,4
Node card VPD check: <*> in processor card slot <*> do not match. VPD ecid <*> found <*>,4
critical input interrupt (unit=<*> bit=<*>),4
ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,4
total of <*> ddr error(s) detected and corrected over <*> seconds,4
ciod: failed to read message prefix on control stream (CioStream socket to <*> terminating,3
"problem state (<*>=sup,<*>=usr).......<*>",3
disable store gathering..................<*>,3
ciod: Error creating node map from file <*> terminating,3
program interrupt,3
ciod: <*> chdir(<*> failed: No such file or directory),3
pollControlDescriptors: Detected the debugger died.,3
"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*>). PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",3
ciod: Error loading <*> for block <*> terminating,3
force load/store alignment...............<*>,2
store operation.............................<*>,2
machine check enable..............<*>,2
program interrupt: <*> unimplemented operation..<*>,2
byte ordering exception.....................<*>,2
guaranteed instruction cache block touch.<*>,2
icache prefetch threshold................<*>,2
debug wait enable.................<*>,2
ciod: Missing or invalid fields on line <*> of node map file <*>,2
<*> torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,2
rts panic! - stopping execution,2
New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,2
tree receiver <*> in re-synch state event(s) (dcr <*>) detected,2
ciod: <*> chdir(pwd) failed: <*> No such file or directory,2
NFS Mount failed on <*> slept <*> retrying (<*>),2
suppressing further interrupts of same type,2
ciod: <*> failed: <*> No such file or directory,2
"ciod: Error loading <*> invalid or missing program image, Exec format error",2
"ciod: <*> Error loading <*>: invalid or missing program image, Permission denied",2
"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> e6200003 <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",2
Torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,2
Lustre mount <*> : <*> : <*> : <*>,2
ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,2
ciod: Error reading message prefix on <*> socket to <*> Link has been severed,2
"ddcMDbglV <*> invalid or missing program image, No such file or directory",2
<*> double-hummer alignment exceptions,1
ciod: <*> at treeaddr <*> sent unrecognized message <*>,1
ciod: Message code <*> is not <*> or <*>,1
program interrupt: trap instruction.........<*>,1
debug interrupt enable............<*>,1
program interrupt: <*> cr update.............<*>,1
guaranteed data cache block touch........<*>,1
icache prefetch depth....................<*>,1
wait state enable.................<*>,1
critical input interrupt enable...<*>,1
special purpose registers: <*>,1
lr:<*> cr:<*> xer:<*> ctr:<*>,1
rts internal error,1
instruction address space.........<*>,1
"ciod: <*> Error loading <*> invalid or missing program image, No such file or directory",1
ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
ciod: Error creating node map from file <*> Block device required,1
ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
rts: kernel terminated for reason <*>,1
New ido chip inserted into the database: <*> for block <*> terminating,1
NodeCard is not fully functional,1
"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK",1
PrepareForService <*> shutting down NodeCard <*> as part of Service Action <*>,1
rts tree/torus link training failed: wanted: <*> B <*> C <*> X+ <*> Y- <*> Z+ <*> got: <*> B <*> C <*> X- <*> Y- <*> Z+,1
Dear <*>,1
Lustre mount FAILED : <*> : point <*> terminating,1
<*> torus receiver x+ input pipe error(s) (dcr 0x02ec) detected and corrected,1
<*> torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected,1
Lustre mount <*> FAILED : <*> terminating,1
"Error loading <*> invalid or missing program image, No such file or directory",1
shutdown complete,1
"Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory",1
<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,1
L3 EDRAM error(s) (dcr <*>) detected and corrected,1
dbcr0=<*> dbsr=<*> ccr0=<*>,1
<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,1
<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds,1
PrepareForService <*> shutting down Node <*> as part of Service Action <*>,1
tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,1
minus normalized number..................<*>,1
fraction rounded.........................<*>,1
"critical input interrupt (unit=<*> bit=<*>): warning for tree <*> wire, suppressing further interrupts of same type",1
size of scratchpad portion of L3.........<*> (0M),1
"ciod: <*> Error loading <*>: <*> invalid or missing program image, Permission denied",1
ciod: <*> chdir(<*>) failed: Input/output error,1
L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,1
"program image too big, <*> > <*>",1
Machine State Register: <*>,1
