LineId,Time,Component,Pid,Content,EventTemplate,EventId
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*> 3579,567
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,onExtend: <*> 14 <*> 0 <*> 4,518
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: <*>,372
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,action:<*>,603
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,65
6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,getTodayTotalDetailSteps = <*>##6993##548365##8661##12266##27164404,34
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps=<*>##7007##548365##8661##12361##27173954,387
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*> 3579,567
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,calculateCaloriesWithCache totalCalories=<*>,234
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude=<*>,304
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,237
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,onExtend: <*> 0 <*> 0 <*> 4,0
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*> 3579,567
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,onStandStepChanged <*> 3580,330
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,onExtend: <*> 1 <*> 0 <*> 4,642
16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,getTodayTotalDetailSteps = <*>##7007##548365##8661##12361##27173954,342
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps=<*>##7008##548365##8661##12456##27174269,351
