EventTemplate,Occurrences
PacketResponder <*> for block <*> terminating,105
"scheduler_evaluate_activity told me to run this job; however, but the start time isn",72
AppleCamIn::systemWakeCall - messageType = <*>,56
Cocoa scripting error for <*> four character codes must be <*> long.,51
ConnectToServer: connect()-> No of tries: <*>,44
Thermal pressure state: <*> Memory pressure state: <*>,39
Location icon should now be in state <*>,37
IOThunderboltSwitch <*> listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
"Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn",35
"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn",32
com.apple.Addres <*> deny network-outbound <*> <*>,29
Sandbox <*> deny <*> network-outbound <*>,28
MDNS: IPV6 Addr: <*>,27
send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
Boss <<<< *>>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
CCFile::captureLogRun() Exiting <*>,22
AppleThunderboltGenericHAL <*> earlyWake - complete - took <*> milliseconds,22
AppleCamIn::wakeEventHandlerThread,20
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,20
button report: <*>,20
Failed to composit image for descriptor <*>.,20
Cocoa scripting error for <*> four character codes must be four characters long.,20
tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
FA||Url||taskID[<*>] dealloc,17
"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn",17
CCFile::captureLog,17
AirPort_Brcm43xx::powerChange: System Sleep,17
AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],16
observeValueForKeyPath:ofObject:change:context:_block_invoke unexpected switch value <*>,16
BSSID changed to <*>,16
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
CCFile::captureLog Received Capture notice id: <*> reason = AuthFail:sts:5_rsn:<*>,15
"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>",15
Previous sleep cause: <*>,15
AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,15
"Path not allowed in target domain: type = pid, path = <*> error = <*> origin = <*>",15
Capture Event,15
AppleCamIn::handleWakeEvent_gated,15
channel changed to <*>,14
KeychainGetICDPStatus: keychain: -<*>,14
AirPort: Link Up on <*>,13
ConnectToServer <*> connect() failed path:<*> Socket:<*> Err:-<*> Errno:<*> Operation not permitted,13
Error returned from iconservicesagent: (<*>),13
AirPort_Brcm43xx::syncPowerState: WWEN[enabled],12
AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],12
SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=<*> UserInfo={NSDescription=<*>},12
USBMSC Identifier (non-unique): <*> <*> <*> <*>,12
AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,11
RTC: PowerByCalendarDate setting ignored,11
Bluetooth -- LE is supported - Disable LE meta event,11
FigAgglomeratorSetObjectForKey signalled err=-<*> (kFigStringConformerError_ParamErr) (<*> key) at <*> line <*>,11
CCFile::captureLogRun Skipping current file <*> terminating,11
IO80211Interface::postMessage <*> bssid <*> changed,10
getSysMsgList <*>,10
jemmytest for block <*> terminating,10
"com.apple.SoftwareUpdate.Activity: scheduler_evaluate_activity told me to run this job; however, but the start time isn",10
ARPT: <*> Wake Reason: <*> Wake on Scan offload,9
"ARPT: <*> wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
"PM response took <*> ms (<*>, powerd)",9
ASL Sender Statistics,9
in6_unlink_ifa: IPv6 address <*> has no prefix,9
CCIOReporterFormatter refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
Unrecognized attribute value: <*>,8
BTLE scanner Powered On,8
AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),8
ARPT: <*> <*> <*>,8
tcp_connection_tls_session_error_callback_imp <*> for block <*> error <*>,8
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>.</s>,8
Wi-Fi will stay on.,8
ARPT: <*> framerdy <*> bmccmd <*> framecnt <*>,8
KeychainGetICDPStatus: status: off,8
