EventTemplate,Occurrences
Proxy <*> through proxy <*> HTTPS,464
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",110
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",92
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",64
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>.</s>",48
"close, <*> bytes sent, <*> bytes received, lifetime <*>",48
"close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",44
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <1 sec",27
"close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",26
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <1 sec",24
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <1 sec",23
error : A connection request was canceled before the completion,21
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",20
<*>.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,20
Could not connect to proxy <*> - connection attempt failed with error <*>,19
proxy.cse.cuhk.edu.hk:<*> HTTPS,18
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>.</s>",17
api.github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,14
"api.github.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",14
get.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,13
Open through proxy <*> HTTPS,12
"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",12
clients6.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,12
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",11
"qbwup.imtt.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>.</s>",11
www.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,11
Could not connect to proxy <*> - Could not resolve <*> error <*>,11
"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",10
open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,10
short.weixin.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,9
"client-cf.dropbox.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",9
www.evernote.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,9
A connection request was canceled before the completion.,8
client-cf.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,8
clients5.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,8
"clients6.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>.</s>",8
block.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,7
"short.weixin.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",7
f-log-extension.grammarly.io:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,7
clients4.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,7
PacketResponder <*> for block <*> terminating,6
sclick.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
ssl.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
"mtalk.google.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",6
mtalk.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
qbwup.imtt.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
collector.githubapp.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
play.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,6
"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",5
eclick.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
"www.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
"clients6.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",5
d.dropbox.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
cpro.baidustatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
csi.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
dict.youdao.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
suggestion.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
clients1.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
long.open.weixin.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
"long.open.weixin.qq.com:<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>.</s>",5
"www.google.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",5
"play.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
"fonts.gstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",5
"security.ie.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec",5
open through proxy <*> HTTPS,5
info.pinyin.sogou.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
puui.qpic.cn:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
fs-conn-doctor.qq.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,5
"close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",4
"Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",4
www.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
"ss.bdimg.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",4
ubmcmm.baidustatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
dup.baidustatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
"safebrowsing.googleapis.com:<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>",4
fonts.gstatic.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
www.google.com.hk:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
"info.pinyin.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",4
sestat.baidu.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
avatars3.githubusercontent.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
notifications.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
"user-images.githubusercontent.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",4
trello.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
