EventTemplate,Occurrences
Read out cached package applicability for package: <*> ApplicableState: <*> CurrentState: <*>.</s>,462
Session: <*> initialized by client <*>,351
Warning: Unrecognized <*> attribute.,280
Session: <*> initialized by client <*> terminating,258
Expecting attribute name [<*> - <*>].,224
Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
Read out cached package applicability for package: <*> ApplicableState: <*> CurrentState: <*>,50
"Read out cached package applicability for package: <*> ApplicableState: <*>, CurrentState: <*>.</s>",44
Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
Loading offline registry hive: <*> into registry key,6
WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>).,4
NT transaction (seq <*>) result <*> handle @<*>,3
CSI perf trace: <*>,3
CSI Store <*> initialized,3
Servicing Stack <*> with Core: <*> terminating,2
WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*> @<*>).,2
Ending TrustedInstaller initialization.,2
Starting the TrustedInstaller main loop.,2
TrustedInstaller service starts successfully.,2
SQM: Initializing online with <*> opt-in: <*>,2
Cleaning up report files older than <*>.,2
SQM: Requesting upload of all unsent reports.,2
"SQM: Failed to start upload with file pattern: <*>.sqm, flags: 0x2 [HRESULT = <*> - E_FAIL]",2
SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
SQM: Queued <*> file(s) for upload with pattern: <*> flags: 0x6,2
SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
NonStart: Checking to ensure startup processing was not required.,2
"Creating NT transaction (seq <*>), objectname <*> (<*>)",2
"NonStart: Success, startup processing not required as expected.",2
Startup processing thread terminated normally,2
Read out cached package applicability for package: <*> terminating,2
Failed to create backup log cab. [HRESULT = <*> - <*>].,2
Loading offline registry hive: <*> into registry key <*> from path <*>.,2
"AdvancedInstallerAwareStore_ResolvePendingTransactions (call <*> (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = <*>)",1
Reboot mark refs incremented to: <*>,1
Scavenge: Starts,1
CSI Transaction <*> for deployment engine <*> with flags <*> and client id <*>,1
Scavenge: Begin CSI Store,1
Performing <*> operations; <*> are not lock/unlock and follow:,1
"Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,1
"Creating NT transaction (seq <*>), objectname <*>",1
"Scavenge: Completed, disposition: <*>",1
CSI Transaction <*> destroyed,1
Reboot mark refs: <*>,1
Idle processing thread terminated normally,1
Ending the TrustedInstaller main loop.,1
Starting TrustedInstaller finalization.,1
Ending TrustedInstaller finalization.,1
Starting TrustedInstaller initialization.,1
"AdvancedInstallerAwareStore_ResolvePendingTransactions <*> (call <*> (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = <*>)",1
Offline image is: <*> read-only,1
"Disabling manifest caching, because the image is not writeable.",1
PopulateComponentFamiliesKey - Begin,1
PopulateComponentFamiliesKey - End,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SECURITY,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SAM,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/COMPONENTS,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/DEFAULT,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Users/default/ntuser.dat,1
Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/system32/smi/store/Machine/schema.dat,1
